project_type,structure_type,work_item,unit,coefficient,source_notes
factory,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
factory,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
factory,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
factory,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
factory,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
factory,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
factory,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
factory,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
factory,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
factory,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
factory,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
factory,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
factory,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
factory,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
factory,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
factory,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
factory,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
factory,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
factory,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
factory,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
factory,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
factory,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
factory,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
factory,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
factory,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
factory,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
factory,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
factory,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
office,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
office,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
office,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
office,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
office,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
office,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
office,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
office,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
office,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
office,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
office,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
office,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
office,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
office,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
office,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
office,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
office,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
office,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
office,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
office,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
office,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
office,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
office,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
office,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
office,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
office,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
office,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
office,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
office,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
office,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
office,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
office,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
office,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
office,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
office,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
office,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
office,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
office,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
