project_type,structure_type,region,base_cny_per_sqm,base_year,source_notes
factory,brick_concrete,first_tier,3120,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,brick_concrete,provincial,2730,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,brick_concrete,third_fourth,2392,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,brick_concrete,county,2210,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame,first_tier,3588,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame,provincial,3139,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame,third_fourth,2751,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame,county,2541,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame_shear,first_tier,3900,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame_shear,provincial,3412,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame_shear,third_fourth,2990,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,frame_shear,county,2762,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,steel,first_tier,4368,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,steel,provincial,3822,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,steel,third_fourth,3349,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,steel,county,3094,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,prefab,first_tier,4056,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,prefab,provincial,3549,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,prefab,third_fourth,3110,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
factory,prefab,county,2873,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
