material,category,unit,factor_value,source_notes
C30_concrete,concrete,kg CO2e/m3,310,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
C40_concrete,concrete,kg CO2e/m3,350,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
rebar_HRB400,steel,kg CO2e/t,2150,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
structural_steel,steel,kg CO2e/t,2350,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
masonry_block,masonry,kg CO2e/m3,220,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
cement_mortar,masonry,kg CO2e/m3,260,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
glass_curtain,finishing,kg CO2e/m2,1800,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
aluminum_profile,finishing,kg CO2e/t,7800,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
gypsum_board,finishing,kg CO2e/m2,18,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
rock_wool,finishing,kg CO2e/m3,140,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
pvc_pipe,mep,kg CO2e/m,3.2,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
copper_cable,mep,kg CO2e/m,8.8,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
air_duct,mep,kg CO2e/m2,42,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
paint,finishing,kg CO2e/kg,4.5,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
ceramic_tile,finishing,kg CO2e/m2,28,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
waterproof_roll,finishing,kg CO2e/m2,6.5,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
asphalt,masonry,kg CO2e/t,420,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
wood_formwork,finishing,kg CO2e/m2,12,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
prefab_panel,concrete,kg CO2e/m3,280,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
solar_panel,mep,kg CO2e/m2,95,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
low_carbon_concrete,concrete,kg CO2e/m3,250,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
flyash_block,masonry,kg CO2e/m3,160,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
stainless_steel,steel,kg CO2e/t,6200,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
galvanized_sheet,steel,kg CO2e/t,3100,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
sand,masonry,kg CO2e/t,5,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
gravel,masonry,kg CO2e/t,6,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
cement,concrete,kg CO2e/t,820,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
lime,masonry,kg CO2e/t,760,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
insulation_board,finishing,kg CO2e/m3,95,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
door_window_glass,finishing,kg CO2e/m2,55,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
fire_pipe,mep,kg CO2e/m,5.4,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
pump,mep,kg CO2e/unit,380,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
elevator,mep,kg CO2e/unit,6800,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
diesel_temp,mep,kg CO2e/L,2.7,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
bitumen_waterproof,finishing,kg CO2e/m2,9,GB/T 51366-2019 and public IEA/EPD ranges synthesized; MIT lcax referenced but not copied
